 Num   Name              Epoch      a          e        i         w        Node        M         H    G   Ref
    47 Aglaja            57800  2.8842326 0.13034682   4.97949 314.09847   3.12082 251.6951523  7.84 0.16 JPL 98
    48 Doris             57800  3.1114520 0.07290099   6.54738 253.41834 183.56523 285.3452778  6.90 0.15 JPL 159
    49 Pales             57800  3.0940411 0.22695915   3.17242 110.36968 285.96785  97.7221565  7.80 0.15 JPL 70
    50 Virginia          57800  2.6496487 0.28591875   2.83801 200.18202 173.53267 335.5066389  9.24 0.15 JPL 97
    51 Nemausa           57800  2.3656397 0.06691458   9.98022   2.47099 176.01903 239.4342424  7.35 0.08 JPL 107
    52 Europa            57800  3.0966794 0.10947610   7.47575 344.10912 128.65411  91.6874647  6.31 0.18 JPL 89
    53 Kalypso           57800  2.6169991 0.20597368   5.17149 313.34579 143.56199 238.0471393  8.81 0.15 JPL 146
    54 Alexandra         57800  2.7096366 0.19824275  11.80161 345.12200 313.33048 201.4841617  7.66 0.15 JPL 157
    55 Pandora           57800  2.7631117 0.14199846   7.18500   4.80255  10.41620 189.6927128  7.70 0.15 JPL 59
    56 Melete            57800  2.5969488 0.23745149   8.08055 105.04007 192.99604  58.0514636  8.31 0.15 JPL 98
    57 Mnemosyne         57800  3.1524606 0.11404420  15.21578 210.95209 199.20280   1.9317248  7.03 0.15 JPL 23
    58 Concordia         57800  2.6999056 0.04313778   5.06579  30.17429 161.12167 121.4262593  8.86 0.15 JPL 103
    59 Elpis             57800  2.7129030 0.11931974   8.64125 211.34063 170.03515 342.3892400  7.93 0.15 JPL 98
    60 Echo              57800  2.3928306 0.18323341   3.60148 270.99368 191.59605 355.6672479  8.21 0.27 JPL 109
    61 Danae             57800  2.9818685 0.16707671  18.21223  12.72447 333.72355 118.7794622  7.68 0.15 JPL 24
    62 Erato             57800  3.1285789 0.17076531   2.22977 274.26563 125.56707  99.9672999  8.76 0.15 JPL 102
    63 Ausonia           57800  2.3957637 0.12731380   5.77775 295.74273 337.76605 287.0394501  7.55 0.25 JPL 96
    64 Angelina          57800  2.6817656 0.12606070   1.30966 178.77221 309.14839 219.1819493  7.67 0.48 JPL 104
    65 Cybele            57800  3.4287203 0.11122465   3.56280 102.34632 155.63418 137.0446156  6.62 0.01 JPL 68
    66 Maja              57800  2.6456459 0.17250530   3.04620  44.06365   7.51380 195.7320662  9.36 0.15 JPL 37
    67 Asia              57800  2.4217873 0.18503495   6.03038 107.14284 202.44241  69.1183556  8.28 0.15 JPL 112
    68 Leto              57800  2.7807129 0.18708048   7.97207 304.78256  44.12810  91.2717952  6.78 0.05 JPL 95
    69 Hesperia          57800  2.9750097 0.17071634   8.59281 289.36478 184.99683 147.2788805  7.05 0.19 JPL 109
    70 Panopaea          57800  2.6163566 0.18127677  11.59162 255.29696  47.70857 244.2391321  8.11 0.14 JPL 34
    71 Niobe             57800  2.7563515 0.17338375  23.26321 266.79000 316.03429  91.9856535  7.30 0.40 JPL 68
    72 Feronia           57800  2.2659553 0.12112552   5.41691 102.99528 207.97295 135.5416211  8.94 0.15 JPL 101
    73 Klytia            57800  2.6648554 0.04358045   2.37075  52.71448   7.03378 335.0288370  8.90 0.15 JPL 25
    74 Galatea           57800  2.7778262 0.23959120   4.07783 174.14266 197.27079 105.0940342  8.66 0.15 JPL 83
    75 Eurydike          57800  2.6717472 0.30536750   5.00100 339.38548 359.42232 141.3680431  8.96 0.23 JPL 63
    76 Freia             57800  3.4111172 0.16593741   2.12181 252.61854 204.30766 158.7258600  7.90 0.15 JPL 39
    77 Frigga            57800  2.6708447 0.13057959   2.42822  61.17817   1.28625 103.2462139  8.52 0.16 JPL 66
    78 Diana             57800  2.6182641 0.20779737   8.70363 152.86446 333.40782 132.1037844  8.09 0.08 JPL 78
    79 Eurynome          57800  2.4446302 0.19117121   4.61754 200.79193 206.61942  22.9780279  7.96 0.25 JPL 98
    80 Sappho            57800  2.2965865 0.19966047   8.67411 139.55578 218.69658 230.7190043  7.98 0.15 JPL 30
    81 Terpsichore       57800  2.8539827 0.20993452   7.80424  51.69076   0.97710 183.5152445  8.48 0.15 JPL 38
    82 Alkmene           57800  2.7645537 0.21870321   2.82900 111.42059  25.50158   3.9203771  8.40 0.28 JPL 95
    83 Beatrix           57800  2.4322436 0.08207658   4.96484 168.53268  27.73849  21.7936178  8.66 0.15 JPL 90
    84 Klio              57800  2.3632248 0.23557852   9.31565  15.02161 327.54945 250.2869465  9.32 0.15 JPL 69
    85 Io                57800  2.6530207 0.19405403  11.96149 123.13693 203.12007  38.0438633  7.61 0.15 JPL 92
    86 Semele            57800  3.1076133 0.21397037   4.81919 308.85461  86.10437 207.8800046  8.54 0.15 JPL 83
    87 Sylvia            57800  3.4803371 0.09234435  10.87698 263.56436  73.05457 331.4719251  6.94 0.15 JPL 73
    88 Thisbe            57800  2.7705472 0.16273455   5.20917  35.89209 276.59518 238.3611309  7.04 0.14 JPL 137
    89 Julia             57800  2.5500397 0.18438882  16.12802  45.48067 311.56002 303.7655402  6.60 0.15 JPL 96
    90 Antiope           57800  3.1493662 0.16546410   2.20709 244.87261  69.97227   4.1884436  8.27 0.15 JPL 89
    91 Aegina            57800  2.5900868 0.10627704   2.10651  72.73511  10.66026 339.1227142  8.84 0.15 JPL 106
    92 Undina            57800  3.1879959 0.10400970   9.92897 239.44926 101.58233  40.7950952  6.61 0.15 JPL 87
    93 Minerva           57800  2.7566844 0.13943358   8.55954 274.53786   4.06105 305.0314327  8.00 0.15 JPL 101
    94 Aurora            57800  3.1575310 0.09311699   7.97199  60.63427   2.59056 168.0196308  7.57 0.15 JPL 84
    95 Arethusa          57800  3.0649615 0.15245039  12.99476 154.14957 243.03446 286.9784462  8.10 0.15 JPL 25
    96 Aegle             57800  3.0504737 0.13938120  15.96885 208.91459 321.62174 315.9927532  7.67 0.15 JPL 85
    97 Klotho            57800  2.6711739 0.25568231  11.77810 268.66856 159.68383 130.1328262  7.63 0.15 JPL 80
    98 Ianthe            57800  2.6879994 0.18584295  15.57751 158.73204 353.99799 306.6968122  8.84 0.15 JPL 65
    99 Dike              57800  2.6652887 0.19493987  13.84864 195.44228  41.52873  63.4762968  9.43 0.15 JPL 83
   100 Hekate            57800  3.0891661 0.16851017   6.42971 184.68725 127.19457 100.9913610  7.67 0.15 JPL 24
   101 Helena            57800  2.5834578 0.13985404  10.19558 348.26097 343.40555 283.4884593  8.33 0.35 JPL 93
   102 Miriam            57800  2.6606303 0.25292108   5.17849 147.21996 210.85716  69.3534456  9.26 0.15 JPL 74
   103 Hera              57800  2.7014540 0.08102617   5.41929 188.32313 136.18630 177.7926443  7.66 0.15 JPL 97
   104 Klymene           57800  3.1495641 0.15879485   2.79103  31.91856  41.69363 136.9026207  8.27 0.15 JPL 83
   105 Artemis           57800  2.3739567 0.17778388  21.44453  56.96848 188.26240 310.9124723  8.57 0.10 JPL 98
   106 Dione             57800  3.1747162 0.16641877   4.59712 329.76151  62.16108  86.3547069  7.41 0.15 JPL 101
   107 Camilla           57800  3.4898664 0.06595910  10.00280 306.95086 172.60982 205.2911079  7.08 0.08 JPL 91
   108 Hecuba            57800  3.2389732 0.05558077   4.22004 204.75139 350.01172 200.3354736  8.09 0.15 JPL 38
   109 Felicitas         57800  2.6979879 0.29681277   7.88069  56.46375   3.16366  75.1156501  8.75 0.04 JPL 20
   110 Lydia             57800  2.7327077 0.08108928   5.96469 283.45432  56.86759  32.0219071  7.80 0.20 JPL 76
   111 Ate               57800  2.5937823 0.10318926   4.93128 166.40785 305.75558 237.8120702  8.02 0.15 JPL 89
   112 Iphigenia         57800  2.4350095 0.12762933   2.60005  16.83752 323.49949 221.7044952  9.84 0.15 JPL 69
   113 Amalthea          57800  2.3758004 0.08673572   5.04236  79.16213 123.48427 280.2644810  8.74 0.35 JPL 104
   114 Kassandra         57800  2.6782185 0.13527892   4.93662 352.24253 164.22199 241.9470916  8.26 0.15 JPL 106
   115 Thyra             57800  2.3804761 0.19228188  11.59023  97.05693 308.84566 161.9601964  7.51 0.12 JPL 65
   116 Sirona            57800  2.7668778 0.14247760   3.56420  94.77411  63.71032  50.5491515  7.82 0.15 JPL 90
   117 Lomia             57800  2.9918810 0.02796777  14.90142  52.31855 348.78874 355.6915288  7.95 0.15 JPL 86
   118 Peitho            57800  2.4383173 0.16348050   7.74438  33.50478  47.68589 102.8219261  9.14 0.15 JPL 52
   119 Althaea           57800  2.5828552 0.08024874   5.78445 170.35343 203.66097 162.0385470  8.42 0.15 JPL 66
   120 Lachesis          57800  3.1181119 0.05253866   6.96413 232.98024 341.19474  91.8571188  7.75 0.15 JPL 110
   121 Hermione          57800  3.4472064 0.13352308   7.59757 298.21933  73.13195  95.4004324  7.31 0.15 JPL 89
   122 Gerda             57800  3.2245867 0.03232951   1.64017 321.70353 178.13607 197.5736602  7.87 0.15 JPL 26
   123 Brunhild          57800  2.6958931 0.11968654   6.41224 125.91873 307.77022 141.4064300  8.90 0.15 JPL 24
   124 Alkeste           57800  2.6299450 0.07539452   2.95732  61.46738 187.99133  29.9475020  8.11 0.19 JPL 112
   125 Liberatrix        57800  2.7432324 0.07750330   4.66408 109.43018 169.00247 351.2142240  9.04 0.33 JPL 66
   126 Velleda           57800  2.4389930 0.10628833   2.92488 328.41972  23.31757 353.9550811  9.27 0.15 JPL 84
   127 Johanna           57800  2.7547924 0.06713490   8.24585  94.18527  31.15423 111.2971312  8.60 0.15 JPL 94
   128 Nemesis           57800  2.7490196 0.12704247   6.24552 303.89415  76.24607 258.9199159  7.49 0.15 JPL 92
   129 Antigone          57800  2.8702959 0.21155860  12.26184 111.08602 135.69764 137.8723234  7.07 0.33 JPL 89
   130 Elektra           57800  3.1309323 0.20774908  22.80381 236.57279 145.32547 164.1072354  7.12 0.15 JPL 94
   131 Vala              57800  2.4324326 0.06814183   4.96076 160.35703  65.66319 341.5110825 10.03 0.15 JPL 55
   132 Aethra            57800  2.6069814 0.39028921  24.99728 255.20727 258.40756  85.1150291  9.38 0.15 JPL 36
   133 Cyrene            57800  3.0629301 0.13577621   7.21444 289.74790 319.03735 352.8333606  7.98 0.13 JPL 63
   134 Sophrosyne        57800  2.5632535 0.11691827  11.60151  84.66124 345.98747 277.9733582  8.76 0.28 JPL 97
   135 Hertha            57800  2.4274863 0.20781153   2.30572 340.23103 343.64986 129.5536616  8.23 0.15 JPL 91
   136 Austria           57800  2.2865749 0.08472963   9.57924 132.95600 186.46270 348.8171452  9.69 0.15 JPL 59
   137 Meliboea          57800  3.1269682 0.21339352  13.42931 107.01154 202.23194 256.8440529  8.05 0.15 JPL 89
   138 Tolosa            57800  2.4491058 0.16238183   3.20382 260.82009  54.76017  39.7331940  8.75 0.15 JPL 62
   139 Juewa             57800  2.7806981 0.17545668  10.91271 165.56943   1.83276 102.7990772  7.78 0.15 JPL 88
   140 Siwa              57800  2.7343853 0.21515096   3.18505 196.64052 107.24398 244.3692463  8.34 0.15 JPL 132
   141 Lumen             57800  2.6652024 0.21481782  11.89601  58.07875 318.50467 337.8119543  8.40 0.15 JPL 57
   142 Polana            57800  2.4187315 0.13467192   2.23794 292.03598 291.25521 193.2873546 10.27 0.15 JPL 23
   143 Adria             57800  2.7603533 0.07436018  11.44864 253.32423 333.06768 268.2725602  9.12 0.15 JPL 33
   144 Vibilia           57800  2.6586411 0.23396646   4.80762 294.07217  76.26931 185.7993513  7.91 0.17 JPL 83
