Andromeda,And,0.17453292519943295,0.6632251157578452
Antlia,Ant,2.6179938779914944,-0.6108652381980153
Apus,Aps,4.1887902047863905,-1.3264502315156903
Aquarius,Aqr,5.8468529941810035,-0.22689280275926285
Aquila,Aql,5.105088062083414,0.03490658503988659
Ara,Ara,4.494222823885399,-0.9599310885968813
Aries,Ari,0.6044984694978736,0.4090658503988659
Auriga,Aur,1.5707963267948966,0.7330382858376184
Bootes,Boo,3.8179077387375955,0.5235987755982988
Caelum,Cae,1.2653637076958888,-0.6632251157578452
Camelopardalis,Cam,1.0835298641951802,1.1217304763960306
Cancer,Cnc,2.2252947962927703,0.3490658503988659
Canes Venatici,CVn,3.4033920413889422,0.6981317007977318
Canis Major,CMa,1.7453292519943295,-0.41887902047863906
Canis Minor,CMi,1.9634954084936207,0.10471975511965977
Capricornus,Cap,5.45415391248228,-0.3490658503988659
Carina,Car,2.2689280275926285,-1.0471975511965976
Cassiopeia,Cas,0.2617993877991494,1.0471975511965976
Centaurus,Cen,3.490658503988659,-0.8203047484373349
Cepheus,Cep,5.759586531581287,1.2217304763960306
Cetus,Cet,0.45814892864851153,-0.20943951023931953
Chamaeleon,Cha,2.792526803190927,-1.361356816555577
Circinus,Cir,3.8833575856873828,-1.0995574287564276
Columba,Col,1.4835298641951802,-0.5934119456780721
Coma Berenices,Com,3.3161255787892263,0.40142572795869574
Corona Austrina,CrA,4.843288674284265,-0.715584993317675
Corona Borealis,CrB,4.101523742186674,0.5235987755982988
Corvus,Crv,3.2288591161895095,-0.3141592653589793
Crater,Crt,2.9670597283903604,-0.2617993877991494
Crux,Cru,3.2288591161895095,-1.0471975511965976
Cygnus,Cyg,5.366887449882563,0.7504915783575616
Delphinus,Del,5.410520681182422,0.20943951023931953
Dorado,Dor,1.3089969389957472,-1.0471975511965976
Draco,Dra,4.4505895925855405,1.0471975511965976
Equules,Eqe,5.541420375081996,0.10471975511965977
Eridanus,Eri,1.0035643198967394,-0.5235987755982988
Fornax,For,0.6544984694978736,-0.5759586531581288
Gemini,Gem,1.8325957145940461,0.3839724354387525
Grus,Gru,5.8468529941810035,-0.8203047484373349
Hercules,Her,4.494222823885399,0.47123889803846897
Horologium,Hor,0.8726646259971648,-0.9075712110370514
Hydra,Hya,2.748893571891069,-0.3490658503988659
Hydrus,Hyi,0.6981317007977318,-1.2217304763960306
Indus,Ind,5.585053606381854,-1.0122909661567112
Lacerta,Lac,5.868669609830932,0.7504915783575616
Leo,Leo,2.748893571891069,0.2617993877991494
Leo Minor,LMi,2.705260340591211,0.5759586531581288
Lepus,Lep,1.4180800172453927,-0.3490658503988659
Libra,Lib,3.9706240482870996,-0.24434609527920614
Lupus,Lup,3.9269908169872414,-0.6981317007977318
Lynx,Lyn,2.050761871093337,0.7853981633974483
Lyra,Lyr,4.908738521234052,0.6283185307179586
Mensa,Men,1.4835298641951802,-1.3439035240356338
Microscopium,Mic,5.45415391248228,-0.6457718232379019
Monoceros,Mon,1.8325957145940461,-0.05235987755982988
Musca,Mus,3.2724923474893677,-1.2217304763960306
Norma,Nor,4.1887902047863905,-0.8726646259971648
Octans,Oct,5.497787143782138,-1.5184364492350666
Ophiuchus,Oph,4.494222823885399,-0.08726646259971647
Orion,Ori,1.3962634015954636,0.05235987755982988
Pavo,Pav,5.017821599483697,-1.1344640137963142
Pegasus,Peg,6.2504862254808625,0.29670597283903605
Perseus,Per,0.8726646259971648,0.7330382858376184
Phoenix,Phe,0.2617993877991494,-0.8377580409572781
Pictor,Pic,1.4398966328953218,-0.9075712110370514
Pisces,Psc,0.29726646259971647,0.17453292519943295
Piscis Austrinus,PsA,5.803219762881146,-0.5585053606381855
Puppis,Pup,2.007128639793479,-0.5585053606381855
Pyxis,Pyx,2.3125612588924866,-0.4886921905584123
Reticulum,Ret,1.0035643198967394,-1.0995574287564276
Sagitta,Sge,5.1487212933832724,0.3141592653589793
Sagittarius,Sgr,4.97418836818384,-0.4363323129985824
Scorpius,Sco,4.319689898685966,-0.4537856055185257
Sculptor,Scl,0.01308996938995747,-0.6108652381980153
Scutum,Sct,4.865105289934194,-0.17453292519943295
Serpens(Caput),Ser,4.0797071265367455,0.17453292519943295
Serpens(Cauda),Ser,4.71238898038469,-0.08726646259971647
Sextans,Sex,2.6616271092913526,-0.017453292519943295
Taurus,Tau,1.1780972450961724,0.3141592653589793
Telescopium,Tel,4.97418836818384,-0.9075712110370514
Triangulum,Tri,0.5235987755982988,0.5585053606381855
Triangulum Austrinus,TrA,4.101523742186674,-1.1344640137963142
Tucana,Tuc,6.2177354602297985,-1.1868238913561442
Ursa Major,UMa,2.8797932657906435,1.0122909661567112
Ursa Minor,UMi,4.101523742186674,1.361356816555577
Vela,Vel,2.48709418409192,-0.7853981633974483
Virgo,Vir,3.490658503988659,-0.03490658503988659
Volans,Vol,2.007128639793479,-1.2042771838760873
Vulpecula,Vul,5.279620987282847,0.4363323129985824
